table_name,field_name,field_alias,field_description,unit,missing_pct,estimated_information_value,estimated_implementation_effort,justification
ANALYSIS_DIS_AC,POTHOLES_NO_H,High Severity Potholes Number,Number of high severity potholes (more than 50 mm deep).,,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,POTHOLES_NO_L,Low Severity Potholes Number,Number of low severity potholes (less than 25 mm deep).,,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,POTHOLES_NO_M,Medium Severity Potholes Number,Number of moderate severity potholes (from 25 to 50 mm deep).,,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_L,Transverse Crack Length Total,Total transverse cracking length.,m,0.022906009009696877,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_L_GT183,Transverse Crack Length Greater Than 1.83m,Total length of transverse cracks greater than 1.83 meters.,m,0.7100862793006032,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_L_H,High Severity Transverse Crack Length,Length of high severity transverse cracking. (Mean crack width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.),m,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_L_L,Low Severity Transverse Crack Length,Length of low severity transverse cracking. (Cracks of unknown width well sealed or with mean width of 6 mm or less.),m,0.022906009009696877,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_L_M,Medium Severity Transverse Crack Length,Length of moderate severity transverse cracking. (Crack mean width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.),m,0.022906009009696877,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_NO_H,High Severity Transverse Cracks Number,Number of high severity transverse cracks. (Mean crack width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.),,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_NO_L,Low Severity Transverse Cracks Number,Number of low severity transverse cracks. (Cracks of unknown width well sealed or with mean width of 6 mm or less.),,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_NO_M,Medium Severity Transverse Cracks Number,Number of moderate severity transverse cracks. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.),,0.015270672673131251,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_SEAL_L,Well Sealed Transverse Crack Length Total,Total length of well sealed transverse cracking.,m,1.2980071772161563,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_SEAL_L_H,High Severity Well Sealed Transverse Crack Length,"Length of well sealed, high severity transverse cracking. (Mean crack width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.)",m,0.2596014354432313,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_SEAL_L_L,Low Severity Well Sealed Transverse Crack Length,"Length of well sealed, low severity transverse cracking. (Cracks of unknown width or with mean width of 6 mm or less.)",m,1.1758417958311065,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,TRANS_CRACK_SEAL_L_M,Medium Severity Well Sealed Transverse Crack Length,"Length of well sealed, moderate severity transverse cracking. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.)",m,0.4428495075208063,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_AC,WP_LENGTH_CRACKED,Wheel Path Length Cracked,Wheel path cracking length.,m,0.15270672673131253,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,CONST_JOINT_NO_H,High Severity Construction Joint Number,Number of high severity transverse construction joint deterioration areas. (Spalling greater than 75 mm and breakup within .6 m of joint.),,0.1838235294117647,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,CONST_JOINT_NO_L,Low Severity Construction Joint Number,Number of low severity transverse construction joint deterioration areas. (No spalling within .6 m of joint.),,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,CONST_JOINT_NO_M,Medium Severity Construction Joint Number,Number of moderate severity transverse construction joint deterioration areas. (Spalling less than 75 mm exists within .6 m of joint.),,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,DURAB_CRACK_A,Durability Crack Area,Total area of durability cracking.,sq m,0.3676470588235294,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,DURAB_CRACK_A_H,High Severity Durability Crack Area,"Area of high severity durability (""D"") cracking.",sq m,0.3676470588235294,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,DURAB_CRACK_A_L,Low Severity Durability Crack Area,"Area of low severity durability (""D"") cracking.",sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,DURAB_CRACK_A_M,Medium Severity Durability Crack Area,"Area of moderate severity durability (""D"") cracking.",sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,DURAB_CRACK_NO_H,High Severity Durability Crack Number,"Number of areas affected by high severity durability (""D"") cracking.",,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,DURAB_CRACK_NO_L,Low Severity Durability Crack Number,"Number of areas affected by low severity durability (""D"") cracking.",,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,DURAB_CRACK_NO_M,Medium Severity Durability Crack Number,"Number of areas affected by moderate severity durability (""D"") cracking.",,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,HPMS16_CRACKING_PERCENT_CRCP,2016 HPMS CRCP Cracking Percentage,"Percent of section cracked using 2016 HPMS Field Guide definitions. Includes punchouts, patching, and longitudinal cracking.",%,2.0220588235294117,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_CRACK_L,Longitudinal Crack Length,Total length of longitudinal cracking.,m,0.1838235294117647,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_CRACK_L_H,High Severity Longitudinal Crack Length,Length of high severity longitudinal cracking. (Crack widths greater than 13 mm or spalling greater than 75 mm or faulting greater than 13 mm.),m,0.1838235294117647,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_CRACK_L_L,Low Severity Longitudinal Crack Length,"Length of high severity longitudinal cracking. (Crack widths less than 3 mm, no spalling or measurable faulting.)",m,0.1838235294117647,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_CRACK_L_M,Medium Severity Longitudinal Crack Length,Length of moderate severity longitudinal cracking. (Crack widths between 3 and 13 mm or spalling less than 75 mm or faulting up to 13 mm.),m,0.1838235294117647,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_CRACK_SEAL_L,Well Sealed Longitudinal Crack Length,Total length of well sealed longitudinal cracking.,m,0.9191176470588236,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_CRACK_SEAL_L_H,High Severity Well Sealed Longitudinal Crack Length,"Length of well sealed, high severity longitudinal cracking. (Crack widths greater than 13 mm or spalling greater than 75 mm or faulting greater than 13 mm.)",m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_CRACK_SEAL_L_L,Low Severity Well Sealed Longitudinal Crack Length,"Length of well sealed, low severity longitudinal cracking. (Crack widths less than 3 mm, no spalling or measurable faulting.)",m,0.9191176470588236,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_CRACK_SEAL_L_M,Medium Severity Well Sealed Longitudinal Crack Length,"Length of well sealed, moderate severity longitudinal cracking. (Crack widths between 3 and 13 mm or spalling less than 75 mm or faulting up to 13 mm.)",m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_JT_SEAL_DAM_L,Low Severity Joint Seal Damage Longitudinal Joint Length,Length of sealed longitudinal joints with joint seal damage.,m,11.397058823529411,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_SPALLING_L,Longitudinal Joint Spalling Length,Total length of spalling of longitudinal joints.,m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_SPALLING_L_H,High Severity Longitudinal Joint Spalling Length,Length of high severity spalling of longitudinal joints. (Spalls greater than 150 mm measured to center of joint with loss of material.),m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_SPALLING_L_L,Low Severity Longitudinal Joint Spalling Length,Length of low severity spalling of longitudinal joints. (Spalls less than 75 mm measured to center of joint with no loss of material.),m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,LONG_SPALLING_L_M,Medium Severity Longitudinal Joint Spalling Length,Length of moderate severity spalling of longitudinal joints. (Spalls between 75 and 150 mm wide measured to center of joint with loss of material.),m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,MEPDG_PUNCHOUTS_CRCP,MEPDG CRCP Punchouts,Number of punchouts per unit length using AASHTO MEPDG definitions.  Includes medium and high severity punchouts.,1/mi,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_FLEX_A_H,High Severity Flexible Patch Area,Area of flexible patching showing high severity distress of any type or settlement of 6 mm or more at the perimeter.,sq m,0.1838235294117647,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_FLEX_A_L,Low Severity Flexible Patch Area,"Area of flexible patching showing, at most, low severity distress of any type and no settlement at the perimeter.",sq m,0.3676470588235294,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_FLEX_A_M,Medium Severity Flexible Patch Area,Area of flexible patching showing moderate severity distress of any type or settlement of up to 6 mm at the perimeter.,sq m,0.1838235294117647,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_FLEX_NO_H,High Severity Flexible Patch Number,Number of flexible patches showing high severity distress or settlement of 6 mm or more at the perimeter.,,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_FLEX_NO_L,Low Severity Flexible Patch Number,"Number of flexible patches showing, at most, low severity distress of any type and no settlement at the perimeter.",,0.1838235294117647,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_FLEX_NO_M,Medium Severity Flexible Patch Number,Number of flexible patches showing moderate severity distress of any type or settlement of up to 6 mm at the perimeter.,,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_RIGID_A_H,High Severity Rigid Patch Area,Area of rigid patching showing high severity distress of any type or settlement of 6 mm or more at the perimeter.,sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_RIGID_A_L,Low Severity Rigid Patch Area,"Area of rigid patching showing, at most, low severity distress of any type and no settlement at the perimeter.",sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_RIGID_A_M,Medium Severity Rigid Patch Area,Area of rigid patching showing moderate severity distress of any type or settlement of up to 6 mm at the perimeter.,sq m,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_RIGID_NO_H,High Severity Rigid Patch Number,Number of rigid patches showing high severity distress of any type or settlement of 6 mm or more at the perimeter.,,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_RIGID_NO_L,Low Severity Rigid Patch Number,"Number of rigid patches showing, at most, low severity distress of any type and no settlement at the perimeter.",,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PATCH_RIGID_NO_M,Medium Severity Rigid Patch Number,Number of rigid patches showing moderate severity distress of any type or settlement of up to 6 mm at the perimeter.,,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PUNCHOUTS_NO_H,High Severity Punchouts Number,Number of high severity punch outs (spalling of at least 150 mm or concrete punched down at least 13 mm.),,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PUNCHOUTS_NO_L,Low Severity Punchouts Number,Number of low severity punch outs (tight cracks with spalling less than 75 mm or faulting less than 6 mm.),,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
ANALYSIS_DIS_CRCP,PUNCHOUTS_NO_M,Medium Severity Punchouts Number,Number of moderate severity punch outs (spalling of at least 75 mm but less than 150 mm and faulting of at least 6 mm but less than 13 mm.),,0.0,HIGH,LOW (<30 min),Severity-disaggregated distress components can provide richer lagged condition state than the current single aggregate target.
